piezo,date,level
Nebo 1D,30/01/10 0:00,-43.28
Nebo 1D,30/01/10 12:00,-43.5
Nebo 1D,31/01/10 0:00,-43.623
Nebo 1D,31/01/10 12:00,-43.718
Nebo 1D,1/02/10 0:00,-43.777
Nebo 1D,1/02/10 12:00,-43.837
Nebo 1D,2/02/10 0:00,-43.875
Nebo 1D,2/02/10 12:00,-43.915
Nebo 1D,3/02/10 0:00,-43.933
Nebo 1D,3/02/10 12:00,-43.933
Nebo 1D,4/02/10 0:00,-43.935
Nebo 1D,4/02/10 12:00,-43.936
Nebo 1D,5/02/10 0:00,-43.894
Nebo 1D,5/02/10 12:00,-43.891
Nebo 1D,6/02/10 0:00,-43.871
Nebo 1D,6/02/10 12:00,-43.888
Nebo 1D,7/02/10 0:00,-43.871
Nebo 1D,7/02/10 12:00,-43.891
Nebo 1D,8/02/10 0:00,-43.886
Nebo 1D,8/02/10 12:00,-43.897
Nebo 1D,9/02/10 0:00,-43.885
Nebo 1D,9/02/10 12:00,-43.9
Nebo 1D,10/02/10 0:00,-43.885
Nebo 1D,10/02/10 12:00,-43.895
Nebo 1D,11/02/10 0:00,-43.878
Nebo 1D,11/02/10 12:00,-43.889
Nebo 1D,12/02/10 0:00,-43.862
Nebo 1D,12/02/10 12:00,-43.929
Nebo 1D,13/02/10 0:00,-43.83
Nebo 1D,13/02/10 12:00,-43.821
Nebo 1D,14/02/10 0:00,-43.802
Nebo 1D,14/02/10 12:00,-43.797
Nebo 1D,15/02/10 0:00,-43.771
Nebo 1D,15/02/10 12:00,-43.771
Nebo 1D,16/02/10 0:00,-43.774
Nebo 1D,16/02/10 12:00,-43.781
Nebo 1D,17/02/10 0:00,-43.78
Nebo 1D,17/02/10 12:00,-43.78
Nebo 1D,18/02/10 0:00,-43.788
Nebo 1D,18/02/10 12:00,-43.795
Nebo 1D,19/02/10 0:00,-43.797
Nebo 1D,19/02/10 12:00,-43.792
Nebo 1D,20/02/10 0:00,-43.793
Nebo 1D,20/02/10 12:00,-43.787
Nebo 1D,21/02/10 0:00,-43.79
Nebo 1D,21/02/10 12:00,-43.78
Nebo 1D,22/02/10 0:00,-43.774
Nebo 1D,22/02/10 12:00,-43.776
Nebo 1D,23/02/10 0:00,-43.765
Nebo 1D,23/02/10 12:00,-43.777
Nebo 1D,24/02/10 0:00,-43.778
Nebo 1D,24/02/10 12:00,-43.79
Nebo 1D,25/02/10 0:00,-43.783
Nebo 1D,25/02/10 12:00,-43.803
Nebo 1D,26/02/10 0:00,-43.793
Nebo 1D,26/02/10 12:00,-43.804
Nebo 1D,27/02/10 0:00,-43.783
Nebo 1D,27/02/10 12:00,-43.788
Nebo 1D,28/02/10 0:00,-43.775
Nebo 1D,28/02/10 12:00,-43.777
Nebo 1D,1/03/10 0:00,-43.763
Nebo 1D,1/03/10 12:00,-43.765
Nebo 1D,2/03/10 0:00,-43.744
Nebo 1D,2/03/10 12:00,-43.739
Nebo 1D,3/03/10 0:00,-43.739
Nebo 1D,3/03/10 12:00,-43.736
Nebo 1D,4/03/10 0:00,-43.736
Nebo 1D,4/03/10 12:00,-43.726
Nebo 1D,5/03/10 0:00,-43.722
Nebo 1D,5/03/10 12:00,-43.714
Nebo 1D,6/03/10 0:00,-43.709
Nebo 1D,6/03/10 12:00,-43.709
Nebo 1D,7/03/10 0:00,-43.71
Nebo 1D,7/03/10 12:00,-43.714
Nebo 1D,8/03/10 0:00,-43.706
Nebo 1D,8/03/10 12:00,-43.709
Nebo 1D,9/03/10 0:00,-43.703
Nebo 1D,9/03/10 12:00,-43.714
Nebo 1D,10/03/10 0:00,-43.716
Nebo 1D,10/03/10 12:00,-43.736
Nebo 1D,11/03/10 0:00,-43.738
Nebo 1D,11/03/10 12:00,-43.755
Nebo 1D,12/03/10 0:00,-43.752
Nebo 1D,12/03/10 12:00,-43.764
Nebo 1D,13/03/10 0:00,-43.756
Nebo 1D,13/03/10 12:00,-43.76
Nebo 1D,14/03/10 0:00,-43.75
Nebo 1D,14/03/10 12:00,-43.748
Nebo 1D,15/03/10 0:00,-43.739
Nebo 1D,15/03/10 12:00,-43.738
Nebo 1D,16/03/10 0:00,-43.735
Nebo 1D,16/03/10 12:00,-43.732
Nebo 1D,17/03/10 0:00,-43.738
Nebo 1D,17/03/10 12:00,-43.736
Nebo 1D,18/03/10 0:00,-43.742
Nebo 1D,18/03/10 12:00,-43.736
Nebo 1D,19/03/10 0:00,-43.736
Nebo 1D,19/03/10 12:00,-43.725
Nebo 1D,20/03/10 0:00,-43.73
Nebo 1D,20/03/10 12:00,-43.725
Nebo 1D,21/03/10 0:00,-43.726
Nebo 1D,21/03/10 12:00,-43.716
Nebo 1D,22/03/10 0:00,-43.721
Nebo 1D,22/03/10 12:00,-43.722
Nebo 1D,23/03/10 0:00,-43.721
Nebo 1D,23/03/10 12:00,-43.721
Nebo 1D,24/03/10 0:00,-43.72
Nebo 1D,24/03/10 12:00,-43.73
Nebo 1D,25/03/10 0:00,-43.727
Nebo 1D,25/03/10 12:00,-43.732
Nebo 1D,26/03/10 0:00,-43.721
Nebo 1D,26/03/10 12:00,-43.725
Nebo 1D,27/03/10 0:00,-43.721
Nebo 1D,27/03/10 12:00,-43.731
Nebo 1D,28/03/10 0:00,-43.726
Nebo 1D,28/03/10 12:00,-43.724
Nebo 1D,29/03/10 0:00,-43.719
Nebo 1D,29/03/10 12:00,-43.719
Nebo 1D,30/03/10 0:00,-43.724
Nebo 1D,30/03/10 12:00,-43.717
Nebo 1D,31/03/10 0:00,-43.686
Nebo 1D,31/03/10 12:00,-43.665
Nebo 1D,1/04/10 0:00,-43.67
Nebo 1D,1/04/10 12:00,-43.661
Nebo 1D,2/04/10 0:00,-43.665
Nebo 1D,2/04/10 12:00,-43.658
Nebo 1D,3/04/10 0:00,-43.665
Nebo 1D,3/04/10 12:00,-43.66
Nebo 1D,4/04/10 0:00,-43.659
Nebo 1D,4/04/10 12:00,-43.656
Nebo 1D,5/04/10 0:00,-43.655
Nebo 1D,5/04/10 12:00,-43.653
Nebo 1D,6/04/10 0:00,-43.651
Nebo 1D,6/04/10 12:00,-43.654
Nebo 1D,7/04/10 12:00,-43.5
Nebo 1D,8/04/10 0:00,-43.494
Nebo 1D,8/04/10 12:00,-43.494
Nebo 1D,9/04/10 0:00,-43.494
Nebo 1D,9/04/10 12:00,-43.491
Nebo 1D,10/04/10 0:00,-43.486
Nebo 1D,10/04/10 12:00,-43.486
Nebo 1D,11/04/10 0:00,-43.485
Nebo 1D,11/04/10 12:00,-43.483
Nebo 1D,12/04/10 0:00,-43.49
Nebo 1D,12/04/10 12:00,-43.49
Nebo 1D,13/04/10 0:00,-43.501
Nebo 1D,13/04/10 12:00,-43.505
Nebo 1D,14/04/10 0:00,-43.51
Nebo 1D,14/04/10 12:00,-43.505
Nebo 1D,15/04/10 0:00,-43.508
Nebo 1D,15/04/10 12:00,-43.504
Nebo 1D,16/04/10 0:00,-43.515
Nebo 1D,16/04/10 12:00,-43.511
Nebo 1D,17/04/10 0:00,-43.518
Nebo 1D,17/04/10 12:00,-43.512
Nebo 1D,18/04/10 0:00,-43.518
Nebo 1D,18/04/10 12:00,-43.51
Nebo 1D,19/04/10 0:00,-43.514
Nebo 1D,19/04/10 12:00,-43.507
Nebo 1D,20/04/10 0:00,-43.512
Nebo 1D,20/04/10 12:00,-43.506
Nebo 1D,21/04/10 0:00,-43.505
Nebo 1D,21/04/10 12:00,-43.502
Nebo 1D,22/04/10 0:00,-43.503
Nebo 1D,22/04/10 12:00,-43.502
Nebo 1D,23/04/10 0:00,-43.502
Nebo 1D,23/04/10 12:00,-43.5
Nebo 1D,24/04/10 0:00,-43.496
Nebo 1D,24/04/10 12:00,-43.491
Nebo 1D,25/04/10 0:00,-43.49
Nebo 1D,25/04/10 12:00,-43.491
Nebo 1D,26/04/10 0:00,-43.505
Nebo 1D,26/04/10 12:00,-43.507
Nebo 1D,27/04/10 0:00,-43.509
Nebo 1D,27/04/10 12:00,-43.5
Nebo 1D,28/04/10 0:00,-43.508
Nebo 1D,28/04/10 12:00,-43.501
Nebo 1D,29/04/10 0:00,-43.508
Nebo 1D,29/04/10 12:00,-43.501
Nebo 1D,30/04/10 0:00,-43.514
Nebo 1D,30/04/10 12:00,-43.51
Nebo 1D,1/05/10 0:00,-43.519
Nebo 1D,1/05/10 12:00,-43.51
Nebo 1D,2/05/10 0:00,-43.514
Nebo 1D,2/05/10 12:00,-43.506
Nebo 1D,3/05/10 0:00,-43.515
Nebo 1D,3/05/10 12:00,-43.51
Nebo 1D,4/05/10 0:00,-43.51
Nebo 1D,4/05/10 12:00,-43.499
Nebo 1D,5/05/10 0:00,-43.494
Nebo 1D,5/05/10 12:00,-43.488
Nebo 1D,6/05/10 0:00,-43.498
Nebo 1D,6/05/10 12:00,-43.498
Nebo 1D,7/05/10 0:00,-43.504
Nebo 1D,7/05/10 12:00,-43.502
Nebo 1D,8/05/10 0:00,-43.503
Nebo 1D,8/05/10 12:00,-43.503
Nebo 1D,9/05/10 0:00,-43.506
Nebo 1D,9/05/10 12:00,-43.504
Nebo 1D,10/05/10 0:00,-43.506
Nebo 1D,10/05/10 12:00,-43.502
Nebo 1D,11/05/10 0:00,-43.5
Nebo 1D,11/05/10 12:00,-43.49
Nebo 1D,12/05/10 0:00,-43.501
Nebo 1D,12/05/10 12:00,-43.499
Nebo 1D,13/05/10 0:00,-43.51
Nebo 1D,13/05/10 12:00,-43.5
Nebo 1D,14/05/10 0:00,-43.51
Nebo 1D,14/05/10 12:00,-43.499
Nebo 1D,15/05/10 0:00,-43.507
Nebo 1D,15/05/10 12:00,-43.5
Nebo 1D,16/05/10 0:00,-43.511
Nebo 1D,16/05/10 12:00,-43.503
Nebo 1D,17/05/10 0:00,-43.511
Nebo 1D,17/05/10 12:00,-43.5
Nebo 1D,18/05/10 0:00,-43.505
Nebo 1D,18/05/10 12:00,-43.497
Nebo 1D,19/05/10 0:00,-43.503
Nebo 1D,19/05/10 12:00,-43.501
Nebo 1D,20/05/10 0:00,-43.503
Nebo 1D,20/05/10 12:00,-43.501
Nebo 1D,21/05/10 0:00,-43.501
Nebo 1D,21/05/10 12:00,-43.498
Nebo 1D,22/05/10 0:00,-43.5
Nebo 1D,22/05/10 12:00,-43.499
Nebo 1D,23/05/10 0:00,-43.503
Nebo 1D,23/05/10 12:00,-43.502
Nebo 1D,24/05/10 0:00,-43.503
Nebo 1D,24/05/10 12:00,-43.496
Nebo 1D,25/05/10 0:00,-43.496
Nebo 1D,25/05/10 12:00,-43.483
Nebo 1D,26/05/10 0:00,-43.484
Nebo 1D,26/05/10 12:00,-43.467
Nebo 1D,27/05/10 0:00,-43.47
Nebo 1D,27/05/10 12:00,-43.462
Nebo 1D,28/05/10 0:00,-43.471
Nebo 1D,28/05/10 12:00,-43.462
Nebo 1D,29/05/10 0:00,-43.463
Nebo 1D,29/05/10 12:00,-43.442
Nebo 1D,30/05/10 0:00,-43.443
Nebo 1D,30/05/10 12:00,-43.433
Nebo 1D,31/05/10 0:00,-43.442
Nebo 1D,31/05/10 12:00,-43.428
Nebo 1D,1/06/10 0:00,-43.438
Nebo 1D,1/06/10 12:00,-43.434
Nebo 1D,2/06/10 0:00,-43.439
Nebo 1D,2/06/10 12:00,-43.436
Nebo 1D,3/06/10 0:00,-43.441
Nebo 1D,3/06/10 12:00,-43.428
Nebo 1D,4/06/10 0:00,-43.423
Nebo 1D,4/06/10 12:00,-43.412
Nebo 1D,5/06/10 0:00,-43.408
Nebo 1D,5/06/10 12:00,-43.403
Nebo 1D,6/06/10 0:00,-43.403
Nebo 1D,6/06/10 12:00,-43.404
Nebo 1D,7/06/10 0:00,-43.415
Nebo 1D,7/06/10 12:00,-43.415
Nebo 1D,8/06/10 0:00,-43.419
Nebo 1D,8/06/10 12:00,-43.41
Nebo 1D,9/06/10 0:00,-43.408
Nebo 1D,9/06/10 12:00,-43.393
Nebo 1D,10/06/10 0:00,-43.4
Nebo 1D,10/06/10 12:00,-43.404
Nebo 1D,11/06/10 0:00,-43.416
Nebo 1D,11/06/10 12:00,-43.404
Nebo 1D,12/06/10 0:00,-43.416
Nebo 1D,12/06/10 12:00,-43.409
Nebo 1D,13/06/10 0:00,-43.424
Nebo 1D,13/06/10 12:00,-43.419
Nebo 1D,14/06/10 0:00,-43.432
Nebo 1D,14/06/10 12:00,-43.423
Nebo 1D,15/06/10 0:00,-43.43
Nebo 1D,15/06/10 12:00,-43.418
Nebo 1D,16/06/10 12:00,-43.42
Nebo 1D,17/06/10 0:00,-43.187
Nebo 1D,17/06/10 12:00,-43.2
Nebo 1D,18/06/10 0:00,-43.223
Nebo 1D,18/06/10 12:00,-43.23
Nebo 1D,19/06/10 0:00,-43.244
Nebo 1D,19/06/10 12:00,-43.246
Nebo 1D,20/06/10 0:00,-43.26
Nebo 1D,20/06/10 12:00,-43.26
Nebo 1D,21/06/10 0:00,-43.278
Nebo 1D,21/06/10 12:00,-43.281
Nebo 1D,22/06/10 0:00,-43.292
Nebo 1D,22/06/10 12:00,-43.286
Nebo 1D,23/06/10 0:00,-43.297
Nebo 1D,23/06/10 12:00,-43.287
Nebo 1D,24/06/10 0:00,-43.283
Nebo 1D,24/06/10 12:00,-43.26
